City,State,Passenger Miles
New York,NY,"9,989,099,073 "
Jamaica,NY,"3,405,961,936 "
New York,NY,"2,154,521,183 "
Newark,NJ,"2,148,639,449 "
Oakland,CA,"1,784,699,309 "
Chicago,IL,"1,518,703,416 "
New York,NY,"1,472,423,041 "
Chicago,IL,"1,401,502,999 "
Washington,DC,"1,314,002,629 "
Newark,NJ,"1,066,078,886 "
Los Angeles,CA,"1,050,459,894 "
Boston,MA,"680,949,680 "
Chicago,IL,"591,323,738 "
Boston,MA,"576,500,980 "
Seattle,WA,"502,807,522 "
Los Angeles,CA,"495,011,734 "
Philadelphia,PA,"455,192,052 "
Atlanta,GA,"449,895,831 "
Jersey City,NJ,"444,870,346 "
Los Angeles,CA,"438,553,704 "
Philadelphia,PA,"436,335,049 "
San Carlos,CA,"409,333,703 "
New York,NY,"381,346,415 "
Washington,DC,"366,498,831 "
Philadelphia,PA,"359,405,111 "
Honolulu,HI,"311,654,913 "
Miami,FL,"310,897,388 "
Baltimore,MD,"275,491,545 "
Boston,MA,"263,405,058 "
Minneapolis,MN,"260,030,296 "
Atlanta,GA,"245,601,162 "
Las Vegas,NV,"244,372,814 "
Baltimore,MD,"239,277,791 "
Houston,TX,"238,829,128 "
Dallas,TX,"232,288,823 "
Denver,CO,"230,220,501 "
Pittsburgh,PA,"225,092,162 "
San Francisco,CA,"220,051,925 "
San Diego,CA,"214,376,455 "
Portland,OR,"210,180,550 "
Los Angeles,CA,"210,105,497 "
Portland,OR,"203,723,813 "
Mahwah,NJ,"196,203,402 "
Seattle,WA,"196,169,479 "
Seattle,WA,"193,091,082 "
Denver,CO,"180,411,468 "
Arlington Heights,IL,"163,060,559 "
Oakland,CA,"161,462,049 "
Seattle,WA,"161,293,358 "
New York,NY,"158,586,769 "
Hoboken,NJ,"151,141,079 "
Los Angeles,CA,"151,003,912 "
San Antonio,TX,"144,597,977 "
Boston,MA,"141,734,607 "
Alexandria,VA,"141,566,826 "
Miami,FL,"139,494,732 "
San Jose,CA,"136,901,868 "
San Francisco,CA,"136,717,088 "
Plantation,FL,"135,668,346 "
Phoenix,AZ,"132,678,717 "
Orlando,FL,"131,834,284 "
Harrisburg,PA,"129,876,440 "
Salt Lake City,UT,"129,673,508 "
New York,NY,"127,378,410 "
Garden City,NY,"126,842,031 "
Hanford,CA,"126,495,990 "
St. Louis,MO,"125,714,384 "
Dallas,TX,"125,148,127 "
Pompano Beach,FL,"120,912,123 "
White Plains,NY,"118,800,235 "
Austin,TX,"116,078,145 "
Houston,TX,"115,745,334 "
Seattle,WA,"115,664,119 "
Phoenix,AZ,"113,208,491 "
Chesterton,IN,"110,846,664 "
Baltimore,MD,"109,737,234 "
Milwaukee,WI,"106,718,086 "
San Diego,CA,"104,544,729 "
Orange,CA,"103,488,637 "
Denver,CO,"101,771,560 "
Minneapolis,MN,"100,276,941 "
Cleveland,OH,"97,776,046 "
Detroit,MI,"97,496,748 "
Lindenwold,NJ,"96,375,041 "
West Covina,CA,"95,300,385 "
Hartford,CT,"95,151,377 "
New Brunswick,NJ,"93,829,030 "
St. Louis,MO,"92,945,521 "
Denver,CO,"89,162,452 "
Salt Lake City,UT,"89,112,550 "
San Diego,CA,"85,605,989 "
Cincinnati,OH,"81,723,692 "
Rockville,MD,"81,258,497 "
San Diego,CA,"80,770,023 "
Bethlehem,PA,"79,839,500 "
Salt Lake City,UT,"79,147,942 "
Detroit,MI,"76,162,014 "
El Paso,TX,"74,781,311 "
Tucson   ,AZ,"74,155,142 "
Long Beach,CA,"73,821,438 "
Southampton,NY,"73,791,820 "
Columbus,OH,"73,617,347 "
Buffalo,NY,"73,140,158 "
Providence,RI,"71,202,527 "
Tampa,FL,"69,745,753 "
San Francisco,CA,"67,071,940 "
Phoenix,AZ,"65,696,893 "
Seattle,WA,"65,559,773 "
Sacramento,CA,"65,530,788 "
Charlotte,NC,"64,906,594 "
Jacksonville,FL,"64,332,545 "
Woodbridge,VA,"62,206,059 "
Stockton,CA,"61,400,684 "
Hampton,VA,"61,264,189 "
Los Angeles,CA,"60,785,294 "
Seattle,WA,"60,295,402 "
Newark,NJ,"59,777,983 "
San Francisco,CA,"58,490,893 "
Philadelphia,PA,"57,709,428 "
San Bernardino,CA,"56,569,834 "
New York,NY,"56,084,904 "
St. Petersburg,FL,"54,491,321 "
Albany,NY,"54,040,515 "
Houston,TX,"53,624,968 "
Dover,NJ,"52,870,209 "
Madison,WI,"52,239,924 "
San Juan,PR,"52,179,019 "
West Palm Beach,FL,"51,698,218 "
Staten Island,NY,"50,703,762 "
Rochester,NY,"50,345,826 "
Westwood,NJ,"50,090,570 "
Santa Monica,CA,"49,197,389 "
Los Angeles,CA,"47,544,324 "
San Jose,CA,"46,981,059 "
Louisville,KY,"46,533,968 "
Orange,CA,"45,960,212 "
New York,NY,"45,490,979 "
Atlanta,GA,"45,122,110 "
Portland,ME,"45,119,331 "
Dayton,OH,"45,092,015 "
Baltimore,MD,"44,778,153 "
Orange,CA,"43,993,911 "
Riverside,CA,"43,555,509 "
Nashville,TN,"43,406,788 "
Salt Lake City,UT,"43,052,589 "
San Francisco,CA,"42,864,299 "
Cleveland,OH,"42,165,745 "
Indianapolis,IN,"41,887,194 "
Kansas City,MO,"41,681,970 "
Fairfax,VA,"41,656,872 "
Newark,NJ,"41,493,521 "
Phoenix,AZ,"41,156,748 "
Spokane,WA,"41,053,474 "
Hurley,NY,"41,046,163 "
Houston,TX,"40,980,999 "
Dallas,TX,"39,672,828 "
Leesburg,VA,"39,227,680 "
Newark,NJ,"38,740,464 "
New Orleans,LA,"38,311,904 "
Thousand Palms,CA,"38,247,959 "
Springfield,MA,"38,093,369 "
Sacramento,CA,"37,924,763 "
Oceanside,CA,"37,902,707 "
Woods Hole,MA,"37,183,573 "
Arlington Heights,IL,"36,963,176 "
Baltimore,MD,"36,790,501 "
Woodbridge,VA,"36,340,402 "
Albuquerque,NM,"36,154,201 "
Everett,WA,"36,148,639 "
Tacoma,WA,"35,901,817 "
Farmington Hills,MI,"35,633,503 "
Oakland,CA,"35,370,072 "
Houston,TX,"34,502,571 "
Seattle,WA,"34,367,474 "
Arlington Heights,IL,"34,117,244 "
Houston,TX,"33,923,059 "
Syracuse,NY,"33,908,580 "
Memphis,TN,"33,059,281 "
Albuquerque,NM,"32,874,779 "
Everett,WA,"32,107,400 "
Dover,DE,"31,653,996 "
El Monte,CA,"31,505,047 "
Grand Rapids,MI,"31,104,166 "
Montclair,NJ,"30,996,958 "
Pittsburgh,PA,"30,261,649 "
Los Angeles,CA,"30,243,844 "
Richmond,VA,"30,204,978 "
Charlotte,NC,"29,838,989 "
Richmond,VA,"29,291,229 "
Hesperia,CA,"29,205,626 "
Atlanta,GA,"28,992,306 "
Burnsville,MN,"28,634,507 "
Oceanside,CA,"28,003,119 "
Yaphank,NY,"27,882,104 "
Flint,MI,"27,603,871 "
San Francisco,CA,"27,534,409 "
Lansing,MI,"27,488,246 "
San Carlos,CA,"26,963,687 "
