City,State,Population,Population Male,Population Female,Sex Ratio Males per 100 Females,Under 5 Years,5 to 9 years,10 to 14 years,15 to 19 Years,20 to 24 Years,25 to 34 Years,35 to 44 Years,45 to 54 Years,55 to 59 Years,60 to 64 Years,65 to 74 Years,75 to 84 Years,85 Years or Over,Median Age,Under 18 Years,18 Years and Over,21 Years and Over,62 Years and Over,65 Years and Over,Males 18 Years and Over,Females 18 Years and Over,18 and Over Sex Ratio 1 Male to 100 Females,Males 65 Years and Over,Females 65 Years and Over,65 and Over Sex Ratio 1 Male to 100 Females,Single Race Population,Multiracial Population,White Population,Black or African American Population,American Indian and Alaska Native,Cherokee Tribal Grouping,Chippewa Tribal Grouping,Navajo Tribal Grouping,Sioux Tribal Grouping,Asian Population,Asian Indian Population,Chinese Population,Filipino Population,Japanese Population,Korean Population,Vietnamese Population,Other Asian Population,Native Hawaiian and Other Pacific Islander Population,Native Hawaiian Population,Guamanian or Chamorro Population,Samoan Population,Other Pacific Islander Population,Other Race Population,White and Black or African American Multiracial Population,White and American Indian and Alaskan Native Multiracial Population,White and Asian Multiracial Population,Black or African American and American Indian and Alaskan Native Multiracial Population,Hispanic or Latino Population,Mexican Population,Puerto Rican Population,Cuban Population,Other Hispanic or Latino Population,Elligible Voter Population,Elligible Male Voter Population,Elligible Female Voter Population
Aberdeen,WA,75061,37879,37182,101.9,3852,3260,5005,4828,3184,8591,8168,9729,5830,5754,10602,4867,1391,45.5,15274,59787,57334,20596,16860,30605,29182,104.9,7952,8908,89.3,71805,3256,65316,1890,2657,-999999999,-999999999,-999999999,-999999999,961,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,74,-999999999,-999999999,-999999999,-999999999,907,136,2346,699,0,7745,-999999999,-999999999,-999999999,-999999999,57698,29248,28450
Abilene,TX,171795,86747,85048,102,11570,9896,12450,13195,15460,24535,22666,16122,10242,9308,14681,7865,3805,34.6,41350,130445,121707,31542,26351,65728,64717,101.6,11387,14964,76.1,168037,3758,139995,14998,224,-999999999,-999999999,-999999999,-999999999,2993,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,0,-999999999,-999999999,-999999999,-999999999,9827,1043,529,883,59,43037,38684,432,679,3242,126358,63188,63170
Adrian,MI,98451,49744,48707,102.1,5374,5210,6216,6044,6519,10879,12184,12449,7271,7014,11567,6117,1607,42.1,20522,77929,73986,23723,19291,39437,38492,102.5,8823,10468,84.3,95654,2797,92654,1889,336,-999999999,-999999999,-999999999,-999999999,361,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,47,-999999999,-999999999,-999999999,-999999999,367,1445,642,285,32,8049,-999999999,-999999999,-999999999,-999999999,76326,38605,37721
Aguadilla,PR,288877,141571,147306,96.1,10632,14094,14752,17627,21061,33366,36062,36839,21639,20565,35355,22475,4410,44.2,49513,239364,225552,74144,62240,115450,123914,93.2,28834,33406,86.3,279516,9361,220263,6501,502,-999999999,-999999999,-999999999,-999999999,0,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,0,-999999999,-999999999,-999999999,-999999999,52250,-999999999,-999999999,-999999999,-999999999,275115,546,272429,149,1991,238110,115311,122799
Akron,OH,703479,343036,360443,95.2,36735,38136,42054,45160,52153,91595,81076,87526,50281,50942,74687,36706,16428,40.7,141888,561591,531518,157013,127821,270127,291464,92.7,56240,71581,78.6,682086,21393,567593,88492,921,-999999999,-999999999,-999999999,-999999999,21443,5036,2565,836,78,901,931,11096,181,-999999999,-999999999,-999999999,-999999999,3456,9681,1481,5730,1448,15607,5339,4399,692,5177,545884,260568,285316
Alamogordo,NM,67490,35491,31999,110.9,4422,5478,3425,4466,4290,9017,8522,7731,4754,3580,6862,4207,736,38.9,15480,52010,49139,13804,11805,27226,24784,109.9,5531,6274,88.2,64990,2500,52701,2738,5387,-999999999,-999999999,-999999999,-999999999,450,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,0,-999999999,-999999999,-999999999,-999999999,3714,524,171,856,0,26034,21836,545,740,2913,46639,24370,22269
Albany,GA,147384,69726,77658,89.8,8912,8998,10817,10064,11407,16349,19750,17016,9470,9503,15664,7416,2018,38.9,34411,112973,105600,30642,25098,51724,61249,84.4,10346,14752,70.1,145448,1936,60245,80781,1073,-999999999,-999999999,-999999999,-999999999,2230,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,0,-999999999,-999999999,-999999999,-999999999,1119,-999999999,-999999999,-999999999,-999999999,4135,-999999999,-999999999,-999999999,-999999999,111651,51202,60449
Albany,OR,129749,64495,65254,98.8,6902,6861,9007,8554,7699,17570,15406,16000,8760,8151,14733,7191,2915,41,28785,100964,97145,30066,24839,49460,51504,96,11509,13330,86.3,122809,6940,115156,749,1738,-999999999,-999999999,-999999999,-999999999,1214,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,198,-999999999,-999999999,-999999999,-999999999,3754,663,3936,1074,0,12354,-999999999,-999999999,-999999999,-999999999,98305,47960,50345
Albany,NY,880381,431545,448836,96.1,44265,46468,49389,61239,64429,116848,104999,111059,60130,62637,92132,45403,21383,40,170336,710045,664893,195561,158918,344037,366008,94,70653,88265,80,843574,36807,721750,67714,565,-999999999,-999999999,-999999999,-999999999,39561,14058,9623,3110,883,1927,912,9048,537,-999999999,-999999999,-999999999,-999999999,13447,16593,4099,6436,541,47737,5340,20643,1116,20638,682302,329870,352432
Albertville,AL,96774,46375,50399,92,6841,6324,6463,6706,5684,12099,11407,12008,6023,6482,9793,5288,1656,39.4,24335,72439,69798,20697,16737,35571,36868,96.5,7310,9427,77.5,95958,816,90252,3820,71,-999999999,-999999999,-999999999,-999999999,593,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,0,-999999999,-999999999,-999999999,-999999999,1222,-999999999,-999999999,-999999999,-999999999,14272,-999999999,-999999999,-999999999,-999999999,67684,33055,34629
Albuquerque,NM,914480,450018,464462,96.9,49231,52836,60803,57577,58431,128788,120010,107713,57867,62694,95322,45084,18124,38.8,197754,716726,682445,199057,158530,347160,369566,93.9,70668,87862,80.4,874098,40382,683987,27044,55977,473,117,21578,336,22128,2361,4409,4954,1405,779,6064,2156,499,-999999999,-999999999,-999999999,-999999999,84463,8937,8398,5675,1155,452830,249691,5741,4969,192429,677880,327085,350795
Alexandria,LA,152037,75320,76717,98.2,9751,9878,10784,11610,8246,19259,19946,18180,10243,8976,14818,8332,2014,37.8,36600,115437,107912,30343,25164,55826,59611,93.7,10588,14576,72.6,147522,4515,99751,43863,324,-999999999,-999999999,-999999999,-999999999,1663,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,0,-999999999,-999999999,-999999999,-999999999,1921,2242,264,901,471,6086,-999999999,-999999999,-999999999,-999999999,113241,54297,58944
Allentown,PA,844052,415105,428947,96.8,44068,45660,53682,56448,51881,105198,100936,110770,57240,61675,87619,47211,21664,41.4,175237,668815,632657,192637,156494,324615,344200,94.3,69094,87400,79.1,819064,24988,705095,56806,2109,-999999999,-999999999,-999999999,-999999999,23883,8612,4978,3008,860,1472,660,4293,221,-999999999,-999999999,-999999999,-999999999,30950,8997,2024,4522,189,154219,10291,83753,1550,58625,639710,310433,329277
Altoona,PA,121829,59842,61987,96.5,6596,5952,7912,7377,5991,15336,13637,15202,10030,7819,14244,8700,3033,43.1,24620,97209,92498,30396,25977,46872,50337,93.1,11160,14817,75.3,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,1631,-999999999,-999999999,-999999999,-999999999,96704,46668,50036
Amarillo,TX,269447,135313,134134,100.9,18616,19223,20307,19205,19031,37346,36241,30507,14115,15110,23300,11831,4615,35.3,69527,199920,188876,48775,39746,99597,100323,99.3,17823,21923,81.3,262380,7067,226578,16755,1805,-999999999,-999999999,-999999999,-999999999,10755,510,571,816,0,353,1375,7130,510,-999999999,-999999999,-999999999,-999999999,5977,2343,1408,186,74,78564,66781,541,474,10768,185559,92491,93068
Ames,IA,123351,64229,59122,108.6,5614,6894,5145,13014,18690,19851,12889,11188,6925,5789,10003,4809,2540,30,20939,102412,87582,20805,17352,53626,48786,109.9,8132,9220,88.2,119648,3703,106735,3150,409,-999999999,-999999999,-999999999,-999999999,6628,731,3092,129,0,2094,85,497,0,-999999999,-999999999,-999999999,-999999999,2726,488,396,1403,0,4851,-999999999,-999999999,-999999999,-999999999,97361,50890,46471
Anchorage,AK,396317,200991,195326,102.9,26983,29524,26605,25775,26544,64430,51965,47633,25938,24507,30900,12507,3006,34.7,97784,298533,282943,61502,46413,151491,147042,103,21698,24715,87.8,362960,33357,269079,16906,34045,605,197,14,16,27657,191,1080,14499,706,4413,780,5988,8367,-999999999,-999999999,-999999999,-999999999,6906,5665,12150,8047,855,32605,15297,4536,1446,11326,287954,145718,142236
Ann Arbor,MI,367601,182062,185539,98.1,17564,17223,20491,32835,46563,52674,44329,40689,21019,20962,32040,15913,5299,34.1,67499,300102,268189,65139,53252,147945,152157,97.2,23981,29271,81.9,351953,15648,270532,44448,1564,-999999999,-999999999,-999999999,-999999999,33018,7855,13224,1400,1065,4475,915,4084,0,-999999999,-999999999,-999999999,-999999999,2391,5819,1526,5597,217,18075,10163,1385,583,5944,276185,135824,140361
Anniston,AL,113605,54285,59320,91.5,6699,5534,7774,7541,6973,14981,14394,13354,7389,8410,12098,6595,1863,39.6,24474,89131,84668,25104,20556,41784,47347,88.3,8743,11813,74,111246,2359,82323,25226,201,-999999999,-999999999,-999999999,-999999999,225,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,85,-999999999,-999999999,-999999999,-999999999,3186,1080,457,224,137,4614,-999999999,-999999999,-999999999,-999999999,87872,41162,46710
