City,State,Population over 16 Years,Labor Force,Civilian Labor Force,Employed,Unemployed,Armed Forces,Not In Labor Force,Female Population,Female Labor Force,Female Civilian Labor Force,Female Employed,Have Children Under 6 Years,Have Children Under 6 Years And All Parents in Labor Force,Have Children Between 6 And 17 Years,Have Children Between 6 And 17 Years And All Parents In Labor Force,DP03_0018E,Commute Via Personal Vehicle,Commute Via Carpool,Commute Via Public Transportation,Commute Via Foot,Commute Via Other Means,Worked From Home,Mean Travel Time In Minutes,DP03_0026E,Occupation Management Business Science and Arts,Occupation Service,Occupation Sales and Office,Occupation Natural Resources Construction And Maintenance,Occupation Production Transportation and Material Moving,DP03_0032E,Industry Agriculture Forestry Fishing Hunting And Mining,Industry Construction,Industry Manufacturing,Industry Wholesale,Industry Retail,Industry Transportation Warehousing and Utilities,Industry Information,Industry Finance Insurance Real Estate Rental and Leasing,Industry Professional Scientific Management Administrative and Waste,Industry Educational Health Care And Social Assistance,Industry Arts Entertainment Recreation Accomodation And Food Services,Industry Other Services,Industry Public Administration,DP03_0046E,DP03_0047E,DP03_0048E,DP03_0049E,DP03_0050E,Total Households,Total Household Income Less than $10K,Total Household Income $10K-$15K,Total Household Income $15K-$25K,Total Household Income $25K-$35K,Total Household Income $35K-$50K,Total Household Income $50K-$75K,Total Household Income $75K-$100K,Total Household Income $100K-$150K,Total Household Income $150K-$200K,Total Household Income $200K Or More,Median Household Income,Mean Household Income,With Earnings,Mean Earnings,With Social Security,Mean Social Security Income,With Retirement Earnings,Mean Retirements Income,With Supplemental Income,Mean Supplemental Income,With Cash Public Assistance,Mean Cash Public Assistance Income,With Food Stamp/SNAP Benefits In The Past 12 Months,DP03_0075E,DP03_0076E,DP03_0077E,DP03_0078E,DP03_0079E,DP03_0080E,DP03_0081E,DP03_0082E,DP03_0083E,DP03_0084E,DP03_0085E,Median Family Income,Mean Family Income,Per Capita Income,DP03_0089E,Median Nonfamily Income,Mean Nonfamily Income,Median Earnings for Workers,Median Earnings for Full Time Males,Median Earnings for Full Time Females,DP03_0095E,DP03_0096E,DP03_0097E,DP03_0098E,DP03_0099E,DP03_0100E,DP03_0101E,DP03_0102E,DP03_0103E,DP03_0104E,DP03_0105E,DP03_0106E,DP03_0107E,DP03_0108E,DP03_0109E,DP03_0110E,DP03_0111E,DP03_0112E,DP03_0113E,DP03_0114E,DP03_0115E,DP03_0116E,DP03_0117E,DP03_0118E
Aberdeen,WA,61725,33238,33088,31174,1914,150,28487,30705,16586,16586,15481,4061,2368,10700,7997,30854,22788,3120,594,1285,728,2339,28.1,31174,10948,6549,5527,4346,3804,31174,1732,2468,2223,464,2865,1214,247,1103,1678,8310,3829,2005,3036,31174,21322,7903,1922,27,29920,1666,1183,2681,2687,3906,6250,4627,4209,1573,1138,61026,77948,20945,71284,13375,21375,9401,31127,1917,10746,871,2390,4766,19664,501,294,957,1433,2482,4233,4192,3447,1270,855,74645,91280,31000,10256,32483,48124,31800,43490,45898,71950,66815,47100,32968,5135,16223,439,39255,29806,28025,25016,21937,4034,3009,1781,1203,230,973,578,9449,8340,4140,4967,1109
Abilene,TX,134883,82595,77557,75713,1844,5038,52288,66641,39424,39003,38293,12633,7917,26419,19407,79943,63002,8642,138,1368,1629,5164,17.1,75713,26673,14596,15397,7568,11479,75713,2308,4868,5837,1969,8733,4998,720,6751,5621,21217,5831,3186,3674,75713,60606,10842,4092,173,61750,4388,3076,5356,6830,8266,12994,8235,7894,2754,1957,54808,71517,48218,70901,19297,19367,14304,24227,3299,8009,654,1563,7500,40411,1056,583,2425,3760,5571,9857,6550,6712,2065,1832,69218,86922,26603,21339,27343,38369,28760,43965,31715,158436,131129,101316,51601,27307,44267,5083,88850,69420,68234,51850,48854,4678,16384,1186,764,514,250,422,19430,14031,9055,6962,5399
Adrian,MI,80215,46591,46582,43989,2593,9,33624,39220,21601,21601,20020,6402,3990,12533,9576,42885,36127,2940,426,1347,154,1891,28.3,43989,13390,9319,7194,4671,9415,43989,1230,2699,9914,614,4985,1255,519,1735,3114,9390,4437,2396,1701,43989,36336,5229,2294,130,38499,2516,1022,3231,4913,6231,7849,4582,5230,1481,1444,53865,69443,27836,69810,15015,22104,12479,19939,2170,8944,521,2983,4960,24874,852,566,1080,2455,4137,5247,3773,4377,1216,1171,63438,80598,28046,13625,31958,43699,31074,44826,40803,95243,88226,67491,38303,7017,21412,769,54935,42571,40372,36009,32312,5156,4363,2199,1280,717,749,919,12364,11542,6895,5994,822
Aguadilla,PR,246271,91522,91197,80157,11040,325,154749,126919,39833,39833,34867,13353,7561,33419,21202,78762,65052,6671,772,2721,690,2856,25.5,80157,20644,17976,19700,9879,11958,80157,1683,6729,9042,1385,9895,3161,977,1798,7542,18980,7315,4418,7232,80157,53953,17483,8516,205,101568,35427,11306,19585,12977,8094,7907,3291,1942,424,615,16311,25781,47957,33271,48024,11793,16048,14871,172,-999999999,4262,1710,54131,69592,18700,7543,14579,10099,6615,6382,3128,1841,424,281,19392,29618,10725,31976,8658,15622,15991,19065,21516,287402,269947,83357,200372,17455,55117,1555,170394,87750,77269,69728,38860,32062,7541,10481,9091,1760,7441,1390,82644,75993,17470,60924,6651
Akron,OH,579116,374176,373151,353676,19475,1025,204940,300466,181242,180797,171108,41381,28344,91910,70328,345752,293150,23010,3264,5500,3794,17034,24.3,353676,130319,62620,78704,26152,55881,353676,855,21158,52115,11651,41422,16310,5524,20771,35250,83336,37317,17392,10575,353676,298006,37833,16604,1233,285647,18878,11943,27172,30067,39094,52623,35045,38058,16296,16471,57158,80800,217528,81779,94932,19226,76595,25029,15411,9280,10425,3087,36538,173786,5930,3651,9961,14816,20891,33149,24617,31654,14845,14272,73770,100051,34122,111861,34446,48147,33011,51823,40651,696069,652610,477059,266453,43459,152277,3404,418938,336809,319839,291665,260612,38448,28174,16970,13633,6637,7376,3337,82129,74227,41135,37811,7902
Alamogordo,NM,53816,27585,23452,21032,2420,4133,26231,25484,12468,11543,10704,5756,3326,9361,6702,24978,19802,2837,255,860,385,839,22.9,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,21032,665,1763,252,96,2793,1173,549,1096,1254,4977,2965,1094,2355,21032,13313,5688,1943,88,24133,1589,1040,4349,4237,3488,4319,2371,1558,773,409,39371,54602,17053,51654,9047,19414,6641,23838,975,8175,653,2328,3852,14883,746,279,2633,2032,2133,2654,1708,1558,773,367,46804,65352,21037,9250,29174,35769,22780,37660,31567,60018,55098,30620,34433,4920,16160,216,32294,21520,19314,16914,11240,6559,2400,2206,1620,328,1292,586,10774,9591,3381,7086,1183
Albany,GA,116771,66046,65732,58845,6887,314,50725,63048,34202,34120,30932,9502,6817,20087,17072,57569,44118,7745,1489,962,891,2364,20.5,58845,17003,11709,15000,6570,8563,58845,1282,4081,3892,1691,5621,4955,1044,2754,5967,14514,4818,3932,4294,58845,42580,10656,5254,355,54128,6526,3946,8408,5356,8263,7993,4576,6277,1368,1415,40625,57777,37237,60938,19951,16311,14370,17652,5098,9651,869,1568,11476,32837,2666,1292,3893,3259,4974,4995,4003,5155,1260,1340,51735,72133,23331,21291,22159,34224,30022,41868,32560,143760,119275,75644,60595,24485,35692,2142,83511,60075,54698,43073,39143,5708,11625,5377,2013,944,1069,3364,23436,16467,9073,9666,6969
Albany,OR,105687,62875,62663,60491,2172,212,42812,53476,29024,29024,27582,7218,3971,18494,13700,60088,47352,6605,134,1864,1684,2449,24.5,60491,19417,10643,11079,7302,12050,60491,2598,4631,7973,985,5672,4463,617,2561,4401,15602,4298,3510,3180,60491,46057,9945,4431,58,49407,1750,1842,4906,4903,6971,8663,7962,8453,2613,1344,61488,74582,36777,70013,17858,20861,14681,23759,2933,11026,1960,2299,8560,30994,685,413,1455,2554,4691,5374,6071,6725,2065,961,76343,84399,29151,18413,37279,54158,33070,52188,37142,128804,119449,86603,52739,9355,29684,1691,74626,58531,56883,51186,45073,7942,5697,1648,1184,483,804,464,16095,14657,6721,9236,1438
Albany,NY,731319,475302,473138,455152,17986,2164,256017,378090,232705,232688,223629,50978,38230,112422,89103,449378,349952,39542,15167,15676,4426,24615,23.8,455152,214713,70686,94799,33623,41331,455152,3791,28569,34404,9379,41816,20041,8590,30074,50474,123788,39323,20035,44868,455152,336065,99355,19009,723,362502,15145,15308,23490,29875,40018,60309,46076,70420,34900,26961,73398,92433,277828,91878,124833,20787,111402,32193,15621,9713,8817,3057,34545,224317,6502,4576,8154,13490,19723,34008,31154,51483,31198,24029,95350,111450,38497,138185,45212,56323,40739,61819,54621,870203,844882,677176,309597,25321,187884,1908,528831,426510,412120,395737,358080,48898,16383,14390,12020,6678,5790,2370,102321,97845,61637,45314,4476
Albertville,AL,75435,42667,42667,41717,950,0,32768,38800,18730,18730,18288,7923,4115,14494,10176,40989,36219,3754,7,62,229,718,23.4,41717,12479,6417,8137,3952,10732,41717,848,3879,10534,890,4608,1507,696,1211,3582,7071,3448,2165,1278,41717,34123,5039,2188,367,35330,2813,1623,4451,2858,5987,7506,4244,3460,1260,1128,49467,63823,24479,68327,14415,19882,8533,22243,1858,8125,376,696,3574,25078,886,475,2391,1827,4124,6222,3935,2957,1221,1040,58967,75280,24572,10252,23902,34100,30272,42414,32613,95953,84757,59663,38155,11196,25365,267,54406,39133,38340,31575,30434,1598,6765,793,638,377,273,155,15273,11439,6578,5936,3834
