city,index
Whitehall-West-Virginia,124.8
Whitehall-Wisconsin,49.7
Whitehouse-Ohio,17.6
Whitehouse-Texas,72.6
Whitesboro-New-York,21.1
Whitesboro-Texas,68.5
Whitesburg-Georgia,318
Whitesburg-Kentucky,22.8
Whitestown-Indiana,110.9
Whiteville-North-Carolina,846
Whiteville-Tennessee,50.2
Whitewater-Wisconsin,140.4
Whitewood-South-Dakota,8.4
Whitewright-Texas,36.1
Whiting-Indiana,262.4
Whitman-Massachusetts,91
Whitmire-South-Carolina,206.9
Whitney-Texas,197
Whittier-California,194.6
Whitwell-Tennessee,140.5
Wichita-Falls-Texas,290.4
Wichita-Kansas,569.7
Wickenburg-Arizona,192.8
Wickliffe-Ohio,116.2
Wiggins-Colorado,15.7
Wiggins-Mississippi,229.1
Wilber-Nebraska,16.6
Wilbraham-Massachusetts,106
Wilbur-Washington,28.7
Wilburton-Oklahoma,245.7
Wilder-Idaho,44.6
Wilder-Kentucky,55.3
Wildomar-California,129
Wildwood-Crest-New-Jersey,252
Wildwood-Florida,361.7
Wildwood-New-Jersey,421.3
Wilkes-Barre-Pennsylvania,286.3
Wilkes-Barre-Township-Pennsylvania,857.7
Wilkesboro-North-Carolina,448
Wilkins-Township-Pennsylvania,109.2
Wilkinsburg-Pennsylvania,458.8
Willacoochee-Georgia,169.7
Willard-Missouri,99.4
Willard-Ohio,116.9
Willard-Utah,163.5
Willcox-Arizona,219.8
Williams-Arizona,255.9
Williams-Bay-Wisconsin,22.7
Williams-California,199
Williamsburg-Iowa,64.6
Williamsburg-Kentucky,158
Williamsburg-Massachusetts,73.9
Williamsburg-Ohio,122.6
Williamsburg-Pennsylvania,70.7
Williamsburg-Virginia,101.4
Williamsfield-Illinois,25.9
Williamson-West-Virginia,47.5
Williamsport-Pennsylvania,186.8
Williamston-Michigan,98.2
Williamston-North-Carolina,681.2
Williamston-South-Carolina,279.6
Williamstown-Kentucky,32.4
Williamstown-Massachusetts,82.4
Williamstown-West-Virginia,107.2
Williamsville-Illinois,74.2
Willimantic-Connecticut,85.7
Willis-Texas,259
Williston-Florida,328.1
Williston-North-Dakota,312.4
Williston-South-Carolina,578.3
Williston-Vermont,103.7
Willits-California,203.4
Willmar-Minnesota,276.3
Willoughby-Hills-Ohio,123.4
Willoughby-Ohio,93.8
Willow-Park-Texas,55.8
Willow-Springs-Illinois,57.3
Willow-Springs-Missouri,419.4
Willowbrook-Illinois,99.6
Willowick-Ohio,75.2
Willows-California,342.6
Wills-Point-Texas,127.6
Wilmer-Texas,152
Wilmette-Illinois,48.2
Wilmington-Delaware,651.7
Wilmington-Illinois,98.9
Wilmington-Massachusetts,69.9
Wilmington-North-Carolina,319.6
Wilmington-Ohio,330.1
Wilmington-Vermont,149.4
Wilmore-Kentucky,53.2
Wilson-Arkansas,58.6
Wilson-North-Carolina,287.2
Wilson-Oklahoma,137.3
Wilson-Pennsylvania,191.4
Wilson-s-Mills-North-Carolina,190.8
Wilsonville-Oregon,139.3
Wilton-Connecticut,31.6
Wilton-Iowa,36.3
Wilton-Maine,65.7
Wilton-Manors-Florida,321.2
Wilton-New-Hampshire,138.3
Winchendon-Massachusetts,167.2
Winchester-Connecticut,73.9
Winchester-Illinois,97.5
Winchester-Indiana,225.4
Winchester-Kansas,30.1
Winchester-Kentucky,287.6
Winchester-Massachusetts,23.5
Winchester-New-Hampshire,139.3
Winchester-Tennessee,282.4
Winchester-Virginia,252.6
Wind-Gap-Pennsylvania,101.5
Windber-Pennsylvania,177.1
Windcrest-Texas,258.3
Winder-Georgia,348.1
Windermere-Florida,96.7
Windham-Maine,60.3
Windham-New-Hampshire,32.3
Windham-New-York,37.6
Windham-Ohio,99.1
Windom-Minnesota,302.8
Windsor-California,103.6
Windsor-Colorado,35
Windsor-Connecticut,112.4
Windsor-Heights-Iowa,352.7
Windsor-Illinois,54.8
Windsor-Locks-Connecticut,90.7
Windsor-Missouri,150.5
Windsor-North-Carolina,175.8
Windsor-Vermont,57.5
Windsor-Virginia,91.9
Winfield-Alabama,319.5
Winfield-Illinois,104.5
Winfield-Kansas,231.7
Winfield-Missouri,43.1
Winfield-Tennessee,154.6
Winfield-West-Virginia,21.9
Wingate-North-Carolina,170.3
Winhall-Vermont,68.4
Wink-Texas,90.1
Winlock-Washington,56.8
Winnebago-Illinois,54.3
Winnebago-Minnesota,141.6
Winneconne-Wisconsin,49.1
Winnemucca-Nevada,154.1
Winner-South-Dakota,278.6
Winnetka-Illinois,31.2
Winnfield-Louisiana,273.3
Winnsboro-South-Carolina,262.2
Winnsboro-Texas,153.8
Winona-Lake-Indiana,57.6
Winona-Minnesota,152.3
Winona-Mississippi,73.2
Winona-Missouri,185.5
Winooski-Vermont,228.8
Winslow-Arizona,516.9
Winslow-Maine,108.1
Winsted-Minnesota,40.5
Winston-Oregon,189.5
Winston-Salem-North-Carolina,465.1
Winter-Garden-Florida,217
Winter-Haven-Florida,252
Winter-Park-Florida,195.6
Winter-Springs-Florida,78.7
Winters-California,109.4
Winters-Texas,123
Winterset-Iowa,145.8
Wintersville-Ohio,90
Winterville-Georgia,63.8
Winterville-North-Carolina,73.1
Winthrop-Harbor-Illinois,90.1
Winthrop-Maine,54.2
Winthrop-Massachusetts,82
Winthrop-Washington,175.1
Winton-North-Carolina,219.6
Wiscasset-Maine,54.6
Wisconsin-Dells-Wisconsin,356.2
Wisconsin-Rapids-Wisconsin,244.3
Wise-Virginia,133.3
Wishek-North-Dakota,133.6
Witt-Illinois,13
Wixom-Michigan,114.7
Woburn-Massachusetts,89.3
Wolcott-Connecticut,80.2
Wolcott-New-York,22.3
Wolf-Point-Montana,285
Wolfe-City-Texas,259.7
Wolfeboro-New-Hampshire,47.5
Wolfforth-Texas,60.6
Wolverine-Lake-Michigan,16.6
Womelsdorf-Pennsylvania,21.7
Wonder-Lake-Illinois,81.8
Wood-Dale-Illinois,99.8
Wood-Heights-Missouri,230.5
Wood-Ridge-New-Jersey,22.2
Wood-River-Illinois,449.4
Orofino-Idaho,232.3
Orono-Maine,61.7
Orono-Minnesota,69.7
