1,Scottsdale,AZ,57.2,10,39,35
2,St. Louis,MO,57.03,125,12,5
3,South Burlington,VT,56.4,3,36,116
4,Huntington Beach,CA,56.07,25,31,39
5,Bismarck,ND,55.9,18,153,1
6,Minneapolis,MN,55.79,162,9,2
7,Denver,CO,54.83,91,10,54
8,Overland Park,KS,54.81,2,171,8
9,San Francisco,CA,54.54,156,2,64
10,Pittsburgh,PA,54.52,106,21,20
11,Chandler,AZ,54.49,12,76,40
12,St. Paul,MN,54.23,142,42,3
13,Springfield,MO,54.2,85,51,15
14,Lexington-Fayette,KY,54.19,39,70,23
15,St. Petersburg,FL,54.14,11,53,102
16,Omaha,NE,54.04,79,59,14
17,Rancho Cucamonga,CA,53.7,9,72,112
18,Tempe,AZ,53.48,50,61,44
19,Kansas City,MO,53.25,33,78,38
20,Virginia Beach,VA,53.24,1,88,163
21,Tucson,AZ,52.95,124,8,94
22,Jacksonville,FL,52.92,20,104,24
23,Fort Lauderdale,FL,52.73,87,16,117
24,Lincoln,NE,52.64,69,86,18
25,Des Moines,IA,52.61,38,115,10
26,Fargo,ND,52.5,66,155,4
27,Columbus,OH,52.37,26,56,130
28,Gilbert,AZ,52.3,24,106,31
29,Plano,TX,52.29,5,135,48
30,Orlando,FL,52.2,67,30,121
31,Miami,FL,52.08,134,4,156
32,Tampa,FL,52,57,45,102
33,Toledo,OH,51.95,93,44,60
34,Portland,ME,51.87,122,64,17
35,Glendale,CA,51.86,154,13,46
36,San Antonio,TX,51.83,54,92,36
37,Philadelphia,PA,51.78,170,7,56
38,Irvine,CA,51.72,126,41,32
39,Riverside,CA,51.69,36,54,143
40,Columbia,MD,51.66,8,111,99
41,Peoria,AZ,51.63,27,120,37
42,Louisville,KY,51.5,53,43,136
43,Oakland,CA,51.48,174,3,83
44,Buffalo,NY,51.48,89,20,142
45,Salt Lake City,UT,51.44,109,14,138
46,Oceanside,CA,51.41,48,80,76
47,Yonkers,NY,51.39,44,63,128
48,Spokane,WA,51.31,108,57,47
49,Austin,TX,51.3,28,79,101
50,Cleveland,OH,51.27,157,15,61
51,Portland,OR,51.24,173,1,139
52,San Diego,CA,51.19,103,46,74
53,Little Rock,AR,51.16,51,143,16
54,Rochester,NY,51.12,135,6,155
54,Fremont,CA,51.12,47,95,49
56,Cincinnati,OH,50.95,102,19,150
57,Fort Smith,AR,50.91,84,93,41
58,Sacramento,CA,50.89,117,25,100
59,Jersey City,NJ,50.87,132,26,88
60,Colorado Springs,CO,50.86,71,71,82
61,Grand Rapids,MI,50.81,115,24,105
62,Milwaukee,WI,50.76,139,67,19
63,Glendale,AZ,50.73,58,98,50
64,Mesa,AZ,50.58,82,81,52
65,Madison,WI,50.51,107,62,69
66,Anaheim,CA,50.49,121,49,59
67,Indianapolis,IN,50.39,112,84,22
68,Albuquerque,NM,50.38,120,74,26
69,Billings,MT,50.31,52,169,12
70,Vancouver,WA,50.23,119,27,111
71,Grand Prairie,TX,50.18,7,175,109
72,Lubbock,TX,50.16,19,142,73
73,Nashua,NH,50.14,131,38,78
74,Wichita,KS,50.12,37,146,42
75,Henderson,NV,50.11,30,103,98
76,Cedar Rapids,IA,50.06,42,151,33
77,Charleston,WV,50.06,95,110,29
78,San Jose,CA,50.04,137,48,55
79,Chicago,IL,50.02,150,32,63
80,New York,NY,50,128,23,132
81,Sioux Falls,SD,49.99,104,105,21
82,Missoula,MT,49.94,155,83,9
83,Modesto,CA,49.86,40,75,152
84,Santa Clarita,CA,49.86,80,107,43
85,Seattle,WA,49.69,158,35,53
86,Reno,NV,49.68,98,50,133
