City,County,State,City Latitude,City Longitude,Closest Airport,Closest Airport ICAO,Distance to Airport KM,Distance to Airport Miles
New York,New York,NY,40.6943,-73.9249,John F Kennedy International Airport,KJFK,13.724377768392003,8.527933083199061
Los Angeles,Los Angeles,CA,34.1139,-118.4068,Los Angeles International Airport,KLAX,19.0590483675228,11.842743754985683
Chicago,Cook,IL,41.8373,-87.6862,Chicago Midway International Airport,KMDW,7.914873261068959,4.918074296078332
Miami,Miami-Dade,FL,25.7839,-80.2102,Miami International Airport,KMIA,8.116212132199513,5.04318047203937
Dallas,Dallas,TX,32.7936,-96.7662,Dallas Fort Worth International Airport,KDFW,27.864253059894224,17.314044360930147
Philadelphia,Philadelphia,PA,40.0077,-75.1339,Philadelphia International Airport,KPHL,17.650670687546597,10.967618425925654
Houston,Harris,TX,29.7863,-95.3889,George Bush Intercontinental Houston Airport,KIAH,22.4987040315395,13.980046722522538
Atlanta,Fulton,GA,33.7627,-84.4224,Hartsfield Jackson Atlanta International Airport,KATL,14.020505561462546,8.711938365332657
Washington,District of Columbia,DC,38.9047,-77.0163,Washington Dulles International Airport,KIAD,38.27667919761298,23.784026085035812
Boston,Suffolk,MA,42.3188,-71.0846,General Edward Lawrence Logan International Airport,KBOS,8.257103496867364,5.130726308372671
Phoenix,Maricopa,AZ,33.5722,-112.0891,Phoenix Sky Harbor International Airport,KPHX,16.91835265893775,10.51257709370734
Seattle,King,WA,47.6211,-122.3244,Boeing Field King County International Airport,KBFI,10.268400488616114,6.380488333691981
San Francisco,San Francisco,CA,37.7562,-122.443,San Francisco International Airport,KSFO,16.387506607798095,10.182724645895432
Detroit,Wayne,MI,42.3834,-83.1024,Cleveland Hopkins International Airport,KCLE,149.7384683717479,93.04317177831504
San Diego,San Diego,CA,32.8312,-117.1225,San Diego International Airport,KSAN,12.553906752296275,7.800636103362439
Minneapolis,Hennepin,MN,44.9635,-93.2678,Minneapolis-St Paul International/Wold-Chamberlain Airport,KMSP,9.759237420474689,6.064109067045262
Tampa,Hillsborough,FL,27.9942,-82.4451,Tampa International Airport,KTPA,8.897512348652224,5.5286579250968515
Denver,Denver,CO,39.7621,-104.8759,Denver International Airport,KDEN,20.567258250057574,12.779901939548175
Brooklyn,Kings,NY,40.6501,-73.9496,John F Kennedy International Airport,KJFK,14.447493249726323,8.977256217574345
Queens,Queens,NY,40.7498,-73.7976,John F Kennedy International Airport,KJFK,12.332535172667944,7.663082179282887
Riverside,Riverside,CA,33.9381,-117.3948,Ontario International Airport,KONT,23.091348206222133,14.348298744518095
Baltimore,Baltimore,MD,39.3051,-76.6144,Baltimore/Washington International Thurgood Marshall Airport,KBWI,15.150546160849666,9.41411304862255
Las Vegas,Clark,NV,36.2333,-115.2654,McCarran International Airport,KLAS,19.845466178741678,12.33140113404413
Portland,Multnomah,OR,45.5372,-122.65,Portland International Airport,KPDX,7.01290853462471,4.3576193916499975
San Antonio,Bexar,TX,29.4658,-98.5253,San Antonio International Airport,KSAT,9.265730044805817,5.757457796817045
St. Louis,St. Louis,MO,38.6358,-90.2451,St Louis Lambert International Airport,KSTL,16.586254929325655,10.306221128940997
Sacramento,Sacramento,CA,38.5667,-121.4683,Sacramento International Airport,KSMF,17.84384297646383,11.087650122896902
Orlando,Orange,FL,28.4772,-81.3369,Orlando International Airport,KMCO,5.974275170772406,3.712242531993055
San Jose,Santa Clara,CA,37.3019,-121.8486,Norman Y. Mineta San Jose International Airport,KSJC,9.802349838710697,6.090897882099473
Cleveland,Cuyahoga,OH,41.4767,-81.6804,Cleveland Hopkins International Airport,KCLE,15.862117615957109,9.856263057568409
Pittsburgh,Allegheny,PA,40.4396,-79.9762,Pittsburgh International Airport,KPIT,22.46996977103779,13.962192080593477
Austin,Travis,TX,30.3004,-97.7522,Austin Bergstrom International Airport,KAUS,14.183155687228687,8.813004469160115
Cincinnati,Hamilton,OH,39.1413,-84.5061,Cincinnati Northern Kentucky International Airport,KCVG,17.335515716949665,10.771790203659874
Kansas City,Jackson,MO,39.1239,-94.5541,Kansas City International Airport,KMCI,23.719236703285322,14.738450573404444
Manhattan,New York,NY,40.7834,-73.9662,Newark Liberty International Airport,KEWR,19.830507572714225,12.322106287066525
Indianapolis,Marion,IN,39.7771,-86.1458,Indianapolis International Airport,KIND,14.339711062289005,8.910283470427794
Columbus,Franklin,OH,39.9862,-82.985,John Glenn Columbus International Airport,KCMH,8.039114791889642,4.995274405174217
Charlotte,Mecklenburg,NC,35.208,-80.8304,Charlotte Douglas International Airport,KCLT,10.260534143499456,6.375600413387229
Virginia Beach,Virginia Beach,VA,36.7335,-76.0435,Norfolk International Airport,KORF,22.759234049758447,14.141932572579266
Bronx,Bronx,NY,40.8501,-73.8662,John F Kennedy International Airport,KJFK,24.51346676225452,15.231962258222206
Milwaukee,Milwaukee,WI,43.0642,-87.9673,General Mitchell International Airport,KMKE,14.223409835993724,8.838017237883223
